x,y,u_exact,u_approx
0,0,0,0
0,0.02,0,0
0,0.04,0,0
0,0.06,0,0
0,0.08,0,0
0,0.1,0,0
0,0.12,0,0
0,0.14,0,0
0,0.16,0,0
0,0.18,0,0
0,0.2,0,0
0,0.22,0,0
0,0.24,0,0
0,0.26,0,0
0,0.28,0,0
0,0.3,0,0
0,0.32,0,0
0,0.34,0,0
0,0.36,0,0
0,0.38,0,0
0,0.4,0,0
0,0.42,0,0
0,0.44,0,0
0,0.46,0,0
0,0.48,0,0
0,0.5,0,0
0,0.52,0,0
0,0.54,0,0
0,0.56,0,0
0,0.58,0,0
0,0.6,0,0
0,0.62,0,0
0,0.64,0,0
0,0.66,0,0
0,0.68,0,0
0,0.7,0,0
0,0.72,0,0
0,0.74,0,0
0,0.76,0,0
0,0.78,0,0
0,0.8,0,0
0,0.82,0,0
0,0.84,0,0
0,0.86,0,0
0,0.88,0,0
0,0.9,0,0
0,0.92,0,0
0,0.94,0,0
0,0.96,0,0
0,0.98,0,0
0,1,0,0
0.02,0,0,0
0.02,0.02,0.00394265,0.00394265
0.02,0.04,0.00786974,0.00786974
0.02,0.06,0.0117658,0.0117658
0.02,0.08,0.0156154,0.0156154
0.02,0.1,0.0194033,0.0194033
0.02,0.12,0.0231147,0.0231147
0.02,0.14,0.0267349,0.0267349
0.02,0.16,0.0302496,0.0302496
0.02,0.18,0.0336448,0.0336448
0.02,0.2,0.0369073,0.0369073
0.02,0.22,0.0400242,0.0400242
0.02,0.24,0.0429831,0.0429831
0.02,0.26,0.0457723,0.0457723
0.02,0.28,0.0483809,0.0483809
0.02,0.3,0.0507986,0.0507986
0.02,0.32,0.0530158,0.0530158
0.02,0.34,0.0550238,0.0550238
0.02,0.36,0.0568146,0.0568146
0.02,0.38,0.0583811,0.0583811
0.02,0.4,0.0597173,0.0597173
0.02,0.42,0.0608178,0.0608178
0.02,0.44,0.0616783,0.0616783
0.02,0.46,0.0622954,0.0622954
0.02,0.48,0.0626666,0.0626666
0.02,0.5,0.0627905,0.0627905
0.02,0.52,0.0626666,0.0626666
0.02,0.54,0.0622954,0.0622954
0.02,0.56,0.0616783,0.0616783
0.02,0.58,0.0608178,0.0608178
0.02,0.6,0.0597173,0.0597173
0.02,0.62,0.0583811,0.0583811
0.02,0.64,0.0568146,0.0568146
0.02,0.66,0.0550238,0.0550238
0.02,0.68,0.0530158,0.0530158
