x,u_exact,u_approx
0,1,0
0.01,0.989158,0
0.02,0.978317,0
0.03,0.967101,0
0.04,0.955869,0
0.05,0.944294,0
0.06,0.93269,0
0.07,0.920774,0
0.08,0.908814,0
0.09,0.896572,0
0.1,0.884276,0
0.11,0.871724,0
0.12,0.859107,0
0.13,0.846262,0
0.14,0.833343,0
0.15,0.820219,0
0.16,0.807014,0
0.17,0.793627,0
0.18,0.780152,0
0.19,0.766517,0
0.2,0.752789,0
0.21,0.73892,0
0.22,0.724955,0
0.23,0.710866,0
0.24,0.696678,0
0.25,0.682384,0
0.26,0.667988,0
0.27,0.653501,0
0.28,0.638912,0
0.29,0.624245,0
0.3,0.609476,0
0.31,0.594641,0
0.32,0.579705,0
0.33,0.564716,0
0.34,0.549625,0
0.35,0.534491,0
0.36,0.519259,0
0.37,0.503992,0
0.38,0.488629,0
0.39,0.473239,0
0.4,0.457757,0
0.41,0.442255,0
0.42,0.426664,0
0.43,0.411058,0
0.44,0.395368,0
0.45,0.379669,0
0.46,0.36389,0
0.47,0.348106,0
0.48,0.332247,0
0.49,0.316386,0
0.5,0.300456,0
0.51,0.284526,0
0.52,0.268534,0
0.53,0.252541,0
0.54,0.236497,0
0.55,0.220449,0
0.56,0.20436,0
0.57,0.188265,0
0.58,0.172137,0
0.59,0.156003,0
0.6,0.139844,0
0.61,0.123678,0
0.62,0.107493,0
0.63,0.0913025,0
0.64,0.0750988,0
0.65,0.0588904,0
0.66,0.0426743,0
0.67,0.0264548,0
0.68,0.0102326,0
0.69,-0.00599118,0
0.7,-0.0222134,0
0.71,-0.0384346,0
0.72,-0.0546505,0
0.73,-0.0708624,0
0.74,-0.0870658,0
0.75,-0.103262,0
0.76,-0.119446,0
0.77,-0.135619,0
0.78,-0.151778,0
0.79,-0.167921,0
0.8,-0.184048,0
0.81,-0.200153,0
0.82,-0.216242,0
0.83,-0.232303,0
0.84,-0.248346,0
0.85,-0.264354,0
0.86,-0.280344,0
0.87,-0.296291,0
0.88,-0.312222,0
0.89,-0.3281,0
0.9,-0.343963,0
0.91,-0.359763,0
0.92,-0.37555,0
0.93,-0.391264,0
0.94,-0.406966,0
0.95,-0.422583,0
0.96,-0.438192,0
0.97,-0.453704,0
0.98,-0.46921,0
0.99,-0.484605,0
1,-0.5,0
