x,y,u_exact,u_approx
0,0,2,1.70625
0,0.0333333,1.875,1.64036
0,0.0666667,1.76471,1.57937
0,0.1,1.66667,1.52276
0,0.133333,1.57895,1.47006
0,0.166667,1.5,1.42089
0,0.2,1.42857,1.3749
0,0.233333,1.36364,1.3318
0,0.266667,1.30435,1.29131
0,0.3,1.25,1.25322
0,0.333333,1.2,1.2173
0,0.366667,1.15385,1.18339
0,0.4,1.11111,1.15132
0,0.433333,1.07143,1.12094
0,0.466667,1.03448,1.09212
0,0.5,1,1.06475
0,0.533333,0.967742,1.03871
0,0.566667,0.9375,1.01392
0,0.6,0.909091,0.990281
0,0.633333,0.882353,0.967722
0,0.666667,0.857143,0.946167
0,0.7,0.833333,0.925552
0,0.733333,0.810811,0.905816
0,0.766667,0.789474,0.886904
0,0.8,0.769231,0.868766
0,0.833333,0.75,0.851354
0,0.866667,0.731707,0.834627
0,0.9,0.714286,0.818545
0,0.933333,0.697674,0.80307
0,0.966667,0.681818,0.78817
0,1,0.666667,0.773813
0.0333333,0,1.875,1.64036
0.0333333,0.0333333,1.76471,1.57937
0.0333333,0.0666667,1.66667,1.52276
0.0333333,0.1,1.57895,1.47006
0.0333333,0.133333,1.5,1.42089
0.0333333,0.166667,1.42857,1.3749
0.0333333,0.2,1.36364,1.3318
0.0333333,0.233333,1.30435,1.29131
0.0333333,0.266667,1.25,1.25322
0.0333333,0.3,1.2,1.2173
0.0333333,0.333333,1.15385,1.18339
0.0333333,0.366667,1.11111,1.15132
0.0333333,0.4,1.07143,1.12094
0.0333333,0.433333,1.03448,1.09212
0.0333333,0.466667,1,1.06475
0.0333333,0.5,0.967742,1.03871
0.0333333,0.533333,0.9375,1.01392
0.0333333,0.566667,0.909091,0.990281
0.0333333,0.6,0.882353,0.967722
0.0333333,0.633333,0.857143,0.946167
0.0333333,0.666667,0.833333,0.925552
0.0333333,0.7,0.810811,0.905816
0.0333333,0.733333,0.789474,0.886904
0.0333333,0.766667,0.769231,0.868766
0.0333333,0.8,0.75,0.851354
0.0333333,0.833333,0.731707,0.834627
0.0333333,0.866667,0.714286,0.818545
0.0333333,0.9,0.697674,0.80307
0.0333333,0.933333,0.681818,0.78817
0.0333333,0.966667,0.666667,0.773813
0.0333333,1,0.652174,0.759969
0.0666667,0,1.76471,1.57937
0.0666667,0.0333333,1.66667,1.52276
0.0666667,0.0666667,1.57895,1.47006
0.0666667,0.1,1.5,1.42089
0.0666667,0.133333,1.42857,1.3749
0.0666667,0.166667,1.36364,1.3318
0.0666667,0.2,1.30435,1.29131
0.0666667,0.233333,1.25,1.25322
0.0666667,0.266667,1.2,1.2173
0.0666667,0.3,1.15385,1.18339
0.0666667,0.333333,1.11111,1.15132
0.0666667,0.366667,1.07143,1.12094
0.0666667,0.4,1.03448,1.09212
0.0666667,0.433333,1,1.06475
0.0666667,0.466667,0.967742,1.03871
0.0666667,0.5,0.9375,1.01392
0.0666667,0.533333,0.909091,0.990281
0.0666667,0.566667,0.882353,0.967722
0.0666667,0.6,0.857143,0.946167
0.0666667,0.633333,0.833333,0.925552
0.0666667,0.666667,0.810811,0.905816
0.0666667,0.7,0.789474,0.886904
0.0666667,0.733333,0.769231,0.868766
0.0666667,0.766667,0.75,0.851354
0.0666667,0.8,0.731707,0.834627
0.0666667,0.833333,0.714286,0.818545
